Cmdline: /system/bin/simpleperf record -f 1000 -g -p 17534 --duration 10
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4961
Event count: 11049081886

Overhead  Command          Pid    Tid    Shared Object                                                                  Symbol
0.11%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       std::__ndk1::pair<std::__ndk1::__hash_iterator<std::__ndk1::__hash_node<std::__ndk1::__hash_value_type<unsigned long, BoneWorldCache>, void*>*>, bool> std::__ndk1::__hash_table<std::__ndk1::__hash_value_type<unsigned long, BoneWorldCache>, std::__ndk1::__unordered_map_hasher<unsigned long, std::__ndk1::__hash_value_type<unsigned long, BoneWorldCache>, std::__ndk1::hash<unsigned long>, std::__ndk1::equal_to<unsigned long>, true>, std::__ndk1::__unordered_map_equal<unsigned long, std::__ndk1::__hash_value_type<unsigned long, BoneWorldCache>, std::__ndk1::equal_to<unsigned long>, std::__ndk1::hash<unsigned long>, true>, std::__ndk1::allocator<std::__ndk1::__hash_value_type<unsigned long, BoneWorldCache>>>::__emplace_unique_key_args<unsigned long, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned long const&>, std::__ndk1::tuple<>>(unsigned long const&, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned long const&>&&, std::__ndk1::tuple<>&&)
0.11%     mali-event-hand  17534  17539  /apex/com.android.runtime/lib64/bionic/libc.so                                 scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.11%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 __memset_aarch64
0.10%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+1696460]
0.10%     Debugger         17534  17534  [vdso]                                                                         __kernel_clock_gettime
0.09%     Debugger         17534  17534  [kernel.kallsyms]                                                              __kmalloc
0.09%     Debugger         17534  17534  [kernel.kallsyms]                                                              fput_many
0.09%     Debugger         17534  17534  /system/lib64/libgui.so                                                        android::SurfaceComposerClient::Transaction::apply(bool, bool)
0.09%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       ImHashData(void const*, unsigned long, unsigned int)
0.09%     Debugger         17534  17534  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       @plt
0.08%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.08%     mali-event-hand  17534  17539  /vendor/lib64/egl/mt6895/libGLES_mali.so                                       libGLES_mali.so[+175ff34]
0.08%     Debugger         17534  17534  /system/lib64/libcutils.so                                                     atrace_get_enabled_tags
0.08%     binder:17534_5   17534  17560  /system/lib64/libbinder.so                                                     android::IPCThreadState::talkWithDriver(bool)
0.08%     Debugger         17534  17544  /data/local/tmp/Debugger                                                       std::__ndk1::__hash_const_iterator<std::__ndk1::__hash_node<std::__ndk1::__hash_value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>, int>, void*>*> std::__ndk1::__hash_table<std::__ndk1::__hash_value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>, int>, std::__ndk1::__unordered_map_hasher<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>, std::__ndk1::__hash_value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>, int>, std::__ndk1::hash<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>>, std::__ndk1::equal_to<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>>, true>, std::__ndk1::__unordered_map_equal<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>, std::__ndk1::__hash_value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>, int>, std::__ndk1::equal_to<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>>, std::__ndk1::hash<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>>, true>, std::__ndk1::allocator<std::__ndk1::__hash_value_type<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>, int>>>::find<std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>>>(std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char>> const&) const
0.08%     Debugger         17534  17534  /system/lib64/libbinder.so                                                     android::Parcel::writeParcelable(android::Parcelable const&)
0.07%     binder:17534_5   17534  17560  /system/lib64/libgui.so                                                        android::ConsumerBase::addReleaseFenceLocked(int, android::sp<android::GraphicBuffer>, android::sp<android::Fence> const&) (.cold.0)
0.07%     Debugger         17534  17534  /apex/com.android.runtime/lib64/bionic/libc.so                                 vsnprintf
0.07%     binder:17534_6   17534  18147  /system/lib64/libgui.so                                                        android::TransactionCompletedListener::onTransactionCompleted(android::ListenerStats)
0.07%     Debugger         17534  17534  /system/lib64/libutils.so                                                      android::RefBase::decStrong(void const*) const
0.07%     Debugger         17534  17534  [kernel.kallsyms]                                                              kmem_cache_alloc
0.07%     Debugger         17534  17534  /data/local/tmp/Debugger                                                       process_input_event(int)
0.07%     Debugger         17534  17534  /system/lib64/libui.so                                                         @plt
0.07%     Debugger         17534  17534  [kernel.kallsyms]                                                              __slab_alloc
